time,p1,p2
0,1.00E+03,1.00E+03
1,1.00E+03,1.00E+03
2,9.30E+02,1.00E+03
3,4.50E+02,1.00E+03
4,2.20E+02,1.00E+03
5,1.10E+02,7.80E+02
6,6.30E+01,5.30E+02
7,3.60E+01,3.60E+02
8,2.10E+01,2.50E+02
9,1.20E+01,1.80E+02
10,5.80E+00,1.30E+02
11,1.80E+00,9.90E+01
12,2.10E-03,7.40E+01
13,5.50E-04,5.50E+01
14,3.20E-04,4.10E+01
15,2.20E-04,3.20E+01
16,1.70E-04,2.40E+01
17,1.40E-04,1.80E+01
18,1.20E-04,1.20E+01
19,1.00E-04,8.50E+00
20,8.70E-05,5.20E+00
21,7.70E-05,2.30E+00
22,7.00E-05,3.60E-02
23,6.40E-05,1.20E-02
24,5.90E-05,7.50E-03
25,5.40E-05,5.50E-03
26,5.00E-05,3.90E-03
27,4.70E-05,2.90E-03
28,4.40E-05,2.30E-03
29,4.20E-05,1.90E-03
30,3.90E-05,1.60E-03
31,3.80E-05,1.30E-03
32,3.60E-05,1.20E-03
33,3.40E-05,1.00E-03
34,3.30E-05,9.10E-04
35,3.20E-05,8.20E-04
36,3.00E-05,7.30E-04
37,2.90E-05,6.70E-04
38,2.80E-05,6.10E-04
39,2.70E-05,5.70E-04
40,2.60E-05,5.30E-04
41,2.60E-05,5.00E-04
42,2.50E-05,4.70E-04
43,2.40E-05,4.50E-04
44,2.30E-05,4.30E-04
45,2.30E-05,4.10E-04
46,2.20E-05,3.90E-04
47,2.10E-05,3.80E-04
48,2.10E-05,3.60E-04
49,2.00E-05,3.50E-04
50,2.00E-05,3.40E-04
51,1.90E-05,3.20E-04
52,1.90E-05,3.20E-04
53,1.80E-05,3.10E-04
54,1.80E-05,3.00E-04
55,1.80E-05,2.90E-04
56,1.70E-05,2.80E-04
57,1.70E-05,2.80E-04
58,1.60E-05,2.70E-04
59,1.60E-05,2.70E-04
60,1.60E-05,2.60E-04
61,1.60E-05,2.60E-04
62,1.50E-05,2.50E-04
63,1.50E-05,2.50E-04
64,1.50E-05,2.40E-04
65,1.40E-05,2.40E-04
66,1.40E-05,2.40E-04
67,1.40E-05,2.30E-04
68,1.40E-05,2.30E-04
69,1.40E-05,2.30E-04
70,1.30E-05,2.20E-04
71,1.30E-05,2.20E-04
72,1.30E-05,2.20E-04
73,1.30E-05,2.20E-04
74,1.30E-05,2.10E-04
75,1.20E-05,2.10E-04
76,1.20E-05,2.10E-04
77,1.20E-05,2.10E-04
78,1.20E-05,2.00E-04
79,1.20E-05,2.00E-04
80,1.20E-05,2.00E-04
81,1.10E-05,2.00E-04
82,1.10E-05,1.90E-04
83,1.10E-05,1.90E-04
84,1.10E-05,1.90E-04
85,1.10E-05,1.90E-04
86,1.10E-05,1.90E-04
87,1.10E-05,1.90E-04
88,1.00E-05,1.80E-04
89,1.00E-05,1.80E-04
90,1.00E-05,1.80E-04
91,1.00E-05,1.80E-04
92,9.90E-06,1.80E-04
93,9.80E-06,1.80E-04
94,9.70E-06,1.70E-04
95,9.50E-06,1.70E-04
96,9.50E-06,1.70E-04
97,9.40E-06,1.70E-04
98,9.30E-06,1.70E-04
99,9.20E-06,1.70E-04
100,9.10E-06,1.60E-04
101,9.00E-06,1.60E-04
102,8.90E-06,1.60E-04
103,8.80E-06,1.60E-04
104,8.70E-06,1.60E-04
105,8.70E-06,1.60E-04
106,8.60E-06,1.60E-04
107,8.50E-06,1.60E-04
108,8.40E-06,1.50E-04
109,8.40E-06,1.50E-04
110,8.30E-06,1.50E-04
111,8.20E-06,1.50E-04
112,8.10E-06,1.50E-04
